site,distance_miles,speed_mph
small_town_site,1.195517804,21.519320472000004
small_town_site,1.195517804,21.519320472000004
small_town_site,1.195517804,21.519320472000004
small_town_site,1.195517804,21.519320472000004
small_town_site,1.195517804,21.519320472000004
small_town_site,1.195517804,21.519320472000004
small_town_site,2.313985604,17.427506641004186
small_town_site,2.523387631,18.964917477244256
small_town_site,2.523387631,18.964917477244256
small_town_site,2.888132408,21.981557439323467
small_town_site,2.888132408,21.981557439323467
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,2.950890879,26.691475287437186
small_town_site,3.127981614,26.68420334218009
small_town_site,3.127981614,26.68420334218009
small_town_site,3.372180417,32.5465134080429
small_town_site,3.372180417,32.5465134080429
small_town_site,3.372180417,32.5465134080429
small_town_site,3.460415099,22.691246550819674
small_town_site,3.460415099,22.691246550819674
small_town_site,3.632534866,31.284989276555024
small_town_site,3.632534866,31.284989276555024
small_town_site,3.632534866,31.284989276555024
small_town_site,3.632534866,31.284989276555024
small_town_site,3.633156237,31.29034079712919
small_town_site,3.633156237,31.29034079712919
small_town_site,3.673545352,19.250019311790393
small_town_site,3.673545352,19.250019311790393
small_town_site,3.673545352,19.250019311790393
small_town_site,3.673545352,19.250019311790393
small_town_site,3.674788094,19.256531496943232
small_town_site,3.674788094,19.256531496943232
small_town_site,3.674788094,19.256531496943232
small_town_site,3.674788094,19.256531496943232
small_town_site,3.674788094,19.256531496943232
small_town_site,3.674788094,19.256531496943232
small_town_site,3.8282667310000003,28.416000477525778
small_town_site,3.8525002,40.31686255813953
small_town_site,3.8525002,40.31686255813953
small_town_site,3.969939319,35.55169539402985
small_town_site,3.969939319,35.55169539402985
small_town_site,4.031455048,30.554185626947366
small_town_site,4.031455048,30.554185626947366
small_town_site,4.031455048,30.554185626947366
small_town_site,4.031455048,30.554185626947366
small_town_site,4.032076419,30.55889496505263
small_town_site,4.032076419,30.55889496505263
small_town_site,4.032076419,30.55889496505263
small_town_site,4.032076419,30.55889496505263
small_town_site,4.032076419,30.55889496505263
small_town_site,4.032076419,30.55889496505263
small_town_site,4.083650212,28.825766202352945
small_town_site,4.083650212,28.825766202352945
small_town_site,4.083650212,28.825766202352945
small_town_site,4.273168367,41.353242261290326
small_town_site,4.350839742,24.901467521780603
small_town_site,4.350839742,24.901467521780603
small_town_site,4.350839742,24.901467521780603
small_town_site,4.366374017,36.985756379294116
small_town_site,4.4546086990000004,29.863298540782125
small_town_site,4.4546086990000004,26.772272648414024
small_town_site,4.455851441,29.87162977206704
small_town_site,4.555270801,26.883565382950817
small_town_site,4.555270801,26.883565382950817
small_town_site,4.555270801,26.883565382950817
small_town_site,4.621136127,42.11668368911392
small_town_site,4.645369596,20.774323659130435
small_town_site,4.675195404,24.392323846956522
small_town_site,4.675195404,24.392323846956522
small_town_site,4.6932151630000005,24.2056942504298
small_town_site,4.721798229,22.45505102298547
small_town_site,4.736089762,32.35279533814041
small_town_site,4.749759924,33.72610596923077
small_town_site,4.913180497,30.183361415017064
small_town_site,4.913801868,30.187178711262803
small_town_site,5.029376874,31.764485520000004
small_town_site,5.055474456,31.4873841550173
small_town_site,5.061066795,43.072908893617026
small_town_site,5.07660107,35.011041862068964
small_town_site,5.07660107,35.011041862068964
small_town_site,5.07660107,35.011041862068964
small_town_site,5.085300264,35.5477300007767
small_town_site,5.090271232,35.51352022325581
small_town_site,5.160486155,34.40324103333334
small_town_site,5.161107526,34.40738350666667
small_town_site,5.228215594,35.850621216
small_town_site,5.268604709,29.682280050704225
small_town_site,5.26922608,29.685780732394367
small_town_site,5.26922608,29.685780732394367
small_town_site,5.3127220500000005,29.652402139534885
small_town_site,5.322663986,36.08585753220339
small_town_site,5.323906728,36.09428290169492
small_town_site,5.3437906,27.24879059490085
small_town_site,5.3437906,27.24879059490085
small_town_site,5.3437906,27.24879059490085
small_town_site,5.3437906,27.24879059490085
small_town_site,5.354975278,35.17866970948905
small_town_site,5.367402698,27.176722521518986
small_town_site,5.469928913,31.356280392993632
small_town_site,5.469928913,31.356280392993632
small_town_site,5.470550284,31.309985727186007
small_town_site,5.470550284,31.309985727186007
small_town_site,5.476763994,31.95518699902755
small_town_site,5.485463188,27.73548802921348
small_town_site,5.489812785,30.219152944954125
small_town_site,5.489812785,30.219152944954125
small_town_site,5.546357546,31.3944766754717
small_town_site,5.6830591660000005,29.607833571056442
small_town_site,5.742089411,36.32956393602812
small_town_site,5.755759573,39.0220988
small_town_site,5.755759573,39.0220988
small_town_site,5.755759573,39.0220988
small_town_site,5.7576236860000005,29.27605264067797
small_town_site,5.7576236860000005,29.27605264067797
small_town_site,5.7638373960000004,36.33943016742557
small_town_site,5.799876914,39.84648261526718
small_town_site,5.852072078,30.1394270111588
small_town_site,5.852072078,30.1394270111588
small_town_site,5.852072078,30.1394270111588
small_town_site,5.852072078,30.1394270111588
small_town_site,5.856421675,29.040107479338843
small_town_site,5.951491438,34.668882163106794
small_town_site,5.963918858,30.497312342045454
small_town_site,5.97137531,30.0656658965035
small_town_site,5.97137531,30.0656658965035
small_town_site,5.97137531,30.0656658965035
small_town_site,5.9726180520000005,30.071923059020982
small_town_site,6.004929344,27.398917158935358
small_town_site,6.011764425,36.4963776222597
small_town_site,6.065823702,30.371300872322674
small_town_site,6.071416041,30.526672831843573
small_town_site,6.072037412,30.487217131380756
small_town_site,6.145980561,29.980392980487807
small_town_site,6.145980561,29.980392980487807
small_town_site,6.155301126,29.310957742857145
small_town_site,6.1726995140000005,26.173990872084808
small_town_site,6.183884192,29.292083014736843
small_town_site,6.374645089,29.421438872307693
small_town_site,6.433053963,33.56375980695652
small_town_site,6.433675334,32.393330353006995
small_town_site,6.668553572,34.79245341913043
small_town_site,6.733176156,32.362395409345794
small_town_site,6.733176156,32.362395409345794
small_town_site,6.846265678,32.73115065179283
small_town_site,6.846265678,32.73115065179283
small_town_site,6.846265678,32.73115065179283
small_town_site,6.846265678,32.73115065179283
small_town_site,6.849993904,33.550990550204084
small_town_site,6.873606002,17.43832389513742
small_town_site,6.895975358,32.07430399069768
small_town_site,7.0072007670000005,34.043080649392714
small_town_site,7.013414477,32.12250905496184
small_town_site,7.089221739,36.149006034560905
small_town_site,7.089221739,36.149006034560905
small_town_site,7.089221739,36.149006034560905
small_town_site,7.104756014,31.772821925962734
small_town_site,7.16440763,32.40184355276382
small_town_site,7.17683505,17.087702500000002
small_town_site,7.229651585,17.07791712992126
small_town_site,7.229651585,17.07791712992126
small_town_site,7.229651585,17.07791712992126
small_town_site,7.281225378,17.03210614736842
small_town_site,7.281225378,17.03210614736842
small_town_site,7.281225378,17.03210614736842
small_town_site,7.281225378,17.03210614736842
small_town_site,7.281225378,17.03210614736842
small_town_site,7.293031427,30.14341347554535
small_town_site,7.293031427,30.14341347554535
small_town_site,7.293031427,30.14341347554535
small_town_site,7.29489554,31.488757726618704
small_town_site,7.346469333,39.95058851782478
small_town_site,7.346469333,39.95058851782478
small_town_site,7.346469333,39.95058851782478
small_town_site,7.346469333,39.95058851782478
small_town_site,7.346469333,39.95058851782478
small_town_site,7.49994797,16.770069995031054
small_town_site,7.49994797,16.770069995031054
small_town_site,7.542201198,16.729466612939003
small_town_site,7.542201198,16.729466612939003
small_town_site,7.623600799,16.593085173155988
small_town_site,7.623600799,16.593085173155988
small_town_site,7.63664959,29.40314280641711
small_town_site,7.63664959,29.40314280641711
small_town_site,7.63664959,29.40314280641711
small_town_site,7.7310979820000005,37.55999019595142
small_town_site,7.764030645,41.346908760355035
small_town_site,7.764030645,41.346908760355035
small_town_site,7.764030645,41.346908760355035
small_town_site,7.80441976,38.434898954856365
small_town_site,7.80441976,38.434898954856365
small_town_site,8.103920582,32.09473497821782
small_town_site,8.104541953,32.097195853465344
small_town_site,8.294681479,32.74216373289473
small_town_site,8.294681479,32.74216373289473
small_town_site,8.294681479,32.74216373289473
small_town_site,8.294681479,32.74216373289473
small_town_site,8.294681479,32.74216373289473
small_town_site,8.59356093,28.93996197193639
small_town_site,8.59356093,28.93996197193639
small_town_site,8.664397224,31.95884221967213
small_town_site,8.664397224,31.95884221967213
small_town_site,8.664397224,31.95884221967213
small_town_site,8.664397224,31.95884221967213
small_town_site,8.664397224,31.95884221967213
small_town_site,8.700436742,52.202620452000005
small_town_site,8.703543597,52.221261582
small_town_site,8.813526264,35.530453023964164
small_town_site,8.816011748,35.50071844832215
small_town_site,8.816011748,35.50071844832215
small_town_site,8.945256916,52.53331957194127
small_town_site,8.945878287,52.53696873278955
small_town_site,8.945878287,52.53696873278955
small_town_site,9.029763372,38.064576275409834
small_town_site,9.029763372,38.064576275409834
small_town_site,9.037219824000001,35.40151400043526
small_town_site,9.15900854,32.67832581169475
small_town_site,9.270233949,38.49232089550173
small_town_site,9.270233949,38.49232089550173
small_town_site,9.270233949,38.49232089550173
small_town_site,9.270233949,38.49232089550173
small_town_site,9.270233949,38.49232089550173
small_town_site,9.303787983,35.108633898113204
small_town_site,9.496412993,35.063678743384614
small_town_site,9.496412993,35.063678743384614
small_town_site,9.503248074,43.97389854293059
small_town_site,9.503869445,43.976773781491
small_town_site,9.506354929,43.98827473573265
small_town_site,9.524374688,43.90236731984635
small_town_site,9.611366628,35.855875503419696
small_town_site,9.611366628,38.92116969718786
small_town_site,9.617580338,35.84191430310559
small_town_site,9.670396873,53.4768490672811
small_town_site,9.674125099,53.41541465705521
small_town_site,9.682202922,35.243610231749244
small_town_site,9.70581502,35.98448411122554
small_town_site,9.715135585,24.338544263048018
small_town_site,9.715135585,24.338544263048018
small_town_site,9.723213408,37.31723696034115
small_town_site,9.723834779,37.31962175309169
small_town_site,9.90465374,39.92917521164614
small_town_site,9.90465374,39.92917521164614
small_town_site,9.90465374,39.92917521164614
small_town_site,9.90465374,39.92917521164614
small_town_site,9.90465374,39.92917521164614
small_town_site,9.925158983,24.158601987018255
